"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"2019-10-13T03:09:11.989Z","-25.5942","-177.3573",79,"4.5","mb",,140,3671,"0.95","us","us70005tt8","2019-10-13T04:12:55.040Z","South of the Fiji Islands","earthquake","13.5","7.1",94,33,"reviewed","us","us"
"2019-10-13T02:53:15.579Z","12.8657","-89.8332","53.41","4.4","mb",,186,1591,"1.23","us","us70005tt1","2019-10-13T03:12:53.040Z","80km S of Acajutla, El Salvador","earthquake","8.5","3.9",36,225,"reviewed","us","us"
"2019-10-13T02:48:17.100Z","19.1551",-67259,34,"2.81","md",6,321,"1.1584","0.4","pr","pr2019286004","2019-10-13T06:15:29.406Z","75km NNW of San Antonio, Puerto Rico","earthquake","3.91","28.71","0.23",6,"reviewed","pr","pr"
"2019-10-13T02:12:37.840Z",35611,"-117.5896667","5.91","2.55","ml",38,35,"0.02005","0.14","ci","ci39128520","2019-10-13T04:13:45.206Z","8km E of Ridgecrest, CA","earthquake","0.16","0.46",178,25,"automatic","ci","ci"
"2019-10-13T01:55:38.714Z","39.4288","-108.7339","1.35","2.7","ml",,89,"0.8","0.34","us","us70005tst","2019-10-13T15:23:43.901Z","26km NNE of Loma, Colorado","earthquake","2.2","2.4",41,80,"reviewed","us","us"
"2019-10-13T01:29:05.820Z","18.8836","-67.1055",104,"3.11","md",9,220,"0.6418","0.57","pr","pr2019286001","2019-10-13T06:14:56.862Z","43km NNW of Isabela, Puerto Rico","earthquake","5.3","5.33","0.16",8,"reviewed","pr","pr"
"2019-10-13T01:02:41.683Z","37.3122","72.1942","235.47","4.5","mb",,81,477,"0.63","us","us70005tsi","2019-10-13T01:44:55.040Z","33km E of Roshtqal'a, Tajikistan","earthquake","8.4","6.1",181,9,"reviewed","us","us"
"2019-10-13T00:48:31.110Z","32.7465","-115.8276667","7.74","2.57","ml",50,50,"0.0819","0.26","ci","ci39128352","2019-10-14T19:01:33.040Z","16km E of Ocotillo, CA","earthquake","0.24","0.62",189,75,"reviewed","ci","ci"
"2019-10-13T00:41:04.990Z","19.7475","-64.4625",25,"3.24","md",6,321,"2.3288","0.25","pr","pr2019286000","2019-10-13T06:14:41.190Z","148km N of Road Town, British Virgin Islands","earthquake","2.12","22.11","0.43",4,"reviewed","pr","pr"
"2019-10-12T23:17:59.624Z","-15.7581","-69.8312","249.32","4.2","mb",,139,1718,"1.07","us","us70005ts7","2019-10-13T00:07:07.040Z","15km W of Taquile, Peru","earthquake","10.3","8.4",152,12,"reviewed","us","us"
"2019-10-12T22:12:09.120Z","19.1523",-68049,15,"3.06","md",13,329,"0.9562","0.73","pr","pr2019285023","2019-10-12T22:40:05.040Z","95km NE of Punta Cana, Dominican Republic","earthquake","4.8","31.61","0.46",8,"reviewed","pr","pr"
"2019-10-12T21:49:29.355Z",55222,"165.2379",10,"4.4","mb",,121,4457,"0.68","us","us70005trq","2019-10-12T22:15:32.040Z","48km W of Nikol'skoye, Russia","earthquake","6.1","1.9",85,40,"reviewed","us","us"
"2019-10-12T21:41:10.930Z","18.9935","-67.1803",35,"3.02","md",4,331,"0.7747","0.34","pr","pr2019285024","2019-10-12T23:45:51.549Z","56km NNW of Isabela, Puerto Rico","earthquake","3.97","24.39","0.01",2,"reviewed","pr","pr"
"2019-10-12T21:24:18.079Z","60.6098",-148829,"31.2","2.9","ml",,,,"0.87","ak","ak019d3ot6yo","2019-10-12T21:36:48.040Z","19km SSW of Whittier, Alaska","earthquake",,"0.4",,,"automatic","ak","ak"
"2019-10-12T20:57:23.450Z","19.1731","-67.2238",10,"3.07","md",6,321,"0.9506","0.6","pr","pr2019285022","2019-10-12T23:45:37.930Z","76km N of San Antonio, Puerto Rico","earthquake","4.8","31.61","0.13",4,"reviewed","pr","pr"
"2019-10-12T20:40:38.243Z","-6.7804","146.5249",10,"4.9","mb",,104,2682,"0.88","us","us70005tre","2019-10-12T21:16:55.040Z","48km NNW of Bulolo, Papua New Guinea","earthquake","7.8","1.7",86,43,"reviewed","us","us"
"2019-10-12T19:21:02.380Z","19.6595","-64.8798",12,"3.81","md",12,232,"1.9997","0.69","pr","pr2019285021","2019-10-12T22:25:43.040Z","117km N of Road Town, British Virgin Islands","earthquake","5.53","8.47","0.17",8,"reviewed","pr","pr"
"2019-10-12T18:20:28.804Z","-4.8115","28.0962",10,"4.6","mb",,60,4944,"0.75","us","us70005tqh","2019-10-14T15:41:03.040Z","137km ENE of Kongolo, Democratic Republic of the Congo","earthquake","8.3","1.8",75,59,"reviewed","us","us"
"2019-10-12T17:30:59.610Z","2.4579","128.8208","43.43","4.6","mb",,111,2217,"0.64","us","us70005tq9","2019-10-14T15:23:27.049Z","121km NE of Tobelo, Indonesia","earthquake","5.5",9,91,36,"reviewed","us","us"
"2019-10-12T17:21:26.930Z","32.4002","49.6707","37.07","4.9","mb",,63,4262,"0.87","us","us70005tq5","2019-10-14T15:17:44.040Z","61km NNE of Masjed Soleyman, Iran","earthquake","7.9","2.6","0.05",131,"reviewed","us","us"
"2019-10-12T16:42:10.907Z","57.9066","-137.4289","7.2","2.9","ml",,,,"1.47","ak","ak019d3lxvbv","2019-10-12T19:22:06.040Z","114km WSW of Gustavus, Alaska","earthquake",,"0.4",,,"automatic","ak","ak"
"2019-10-12T15:59:50.248Z","57.9169","-137.8294",7,"3.8","ml",,,,"0.76","ak","ak019d3lg5z7","2019-10-12T22:55:12.742Z","108km WSW of Gustavus, Alaska","earthquake",,"0.6",,,"reviewed","ak","ak"
"2019-10-12T15:59:16.760Z","19.0628","-67.2728",10,"2.63","md",11,222,709,"0.82","pr","pr2019285017","2019-10-12T19:40:56.643Z","65km NNW of San Antonio, Puerto Rico","earthquake","3.45","31.61","0.47",9,"reviewed","pr","pr"
"2019-10-12T15:51:07.058Z","5.65","126.5396","87.18","4.5","mb",,157,1703,"0.8","us","us70005tpv","2019-10-12T16:46:30.040Z","88km SSE of Pondaguitan, Philippines","earthquake","10.4","5.3",136,16,"reviewed","us","us"
"2019-10-12T15:05:21.260Z",19804,"-64.6223",87,"3.63","md",9,240,"2.2691","0.52","pr","pr2019285016","2019-10-12T21:02:32.040Z","151km N of Road Town, British Virgin Islands","earthquake","8.95","27.5","0.09",6,"reviewed","pr","pr"
"2019-10-12T14:55:23.032Z","22.0371","110.3027",10,"4.6","mb",,67,3023,"1.31","us","us70005tpj","2019-10-13T15:33:48.968Z","32km S of Wenquan, China","earthquake","7.1","1.9",119,21,"reviewed","us","us"
"2019-10-12T14:33:00.848Z","-3.6329",139759,"55.75","4.9","mb",,116,7531,"1.17","us","us70005tpg","2019-10-12T15:01:33.040Z","143km SW of Abepura, Indonesia","earthquake","9.5","9.7",122,21,"reviewed","us","us"
